cfg,id,providers_jsd,providers_decision,Delta_norm,Delta_decision,n_frag
partial_DP1,Q0150,0.1302096370388875,alert,9.318606062108069,alert,4
partial_DP1,Q0168,0.1302096370388875,alert,9.318606062108069,alert,4
partial_DP1,Q0114,,no_data,15.8747199372533,alert,0
partial_DP1,Q0174,0.010773974710291945,ok,3.2749223973765775,ok,5
partial_DP1,Q0118,0.1302096370388875,alert,9.318606062108069,alert,4
partial_DP1,Q0166,0.1302096370388875,alert,9.318606062108069,alert,4
partial_DP1,Q0176,0.1302096370388875,alert,15650000000.0,alert,4
partial_DP1,Q0061,0.010773974710291945,ok,3.2749223973765775,ok,5
partial_DP1,Q0081,0.1302096370388875,alert,9.318606062108069,alert,4
partial_DP1,Q0165,0.010773974710291945,ok,3.2749223973765775,ok,5
partial_DP1,Q0104,0.1302096370388875,alert,9.318606062108069,alert,4
partial_DP1,Q0146,0.1302096370388875,alert,9.318606062108069,alert,4
partial_DP1,Q0080,0.010773974710291945,ok,3.2749223973765775,ok,5
partial_DP1,Q0161,0.1302096370388875,alert,9.318606062108069,alert,4
partial_DP1,Q0180,0.1302096370388875,alert,9.318606062108069,alert,4
partial_DP1,Q0171,0.1302096370388875,alert,15599999999.999998,alert,4
partial_DP1,Q0162,0.010773974710291945,ok,3.2749223973765775,ok,5
partial_DP1,Q0109,0.010773974710291945,ok,3.2749223973765775,ok,5
partial_DP1,Q0073,0.1302096370388875,alert,9.318606062108069,alert,4
partial_DP1,Q0106,0.1302096370388875,alert,9.318606062108069,alert,4
partial_DP1,Q0105,0.1302096370388875,alert,9.318606062108069,alert,4
partial_DP1,Q0094,0.1302096370388875,alert,9.318606062108069,alert,4
partial_DP1,Q0066,0.1302096370388875,alert,9.318606062108069,alert,4
partial_DP1,Q0119,0.010773974710291945,ok,15640000000.0,alert,5
partial_DP1,Q0076,0.1302096370388875,alert,9.318606062108069,alert,4
partial_DP1,Q0135,0.1302096370388875,alert,9.318606062108069,alert,4
partial_DP1,Q0071,0.14350549492538694,alert,11.070386847969727,alert,3
partial_DP1,Q0098,0.1302096370388875,alert,9.318606062108069,alert,4
partial_DP1,Q0107,0.010773974710291945,ok,3.2749223973765775,ok,5
partial_DP1,Q0097,0.010773974710291945,ok,3.2749223973765775,ok,5
partial_DP1,Q0134,0.010773974710291945,ok,3.2749223973765775,ok,5
partial_DP1,Q0133,0.1302096370388875,alert,9.318606062108069,alert,4
partial_DP1,Q0164,,no_data,15660000000.0,alert,0
partial_DP1,Q0063,0.1302096370388875,alert,9.318606062108069,alert,4
partial_DP1,Q0103,0.010773974710291945,ok,3.2749223973765775,ok,5
partial_DP1,Q0179,0.1302096370388875,alert,9.318606062108069,alert,4
partial_DP1,Q0110,0.1302096370388875,alert,9.318606062108069,alert,4
partial_DP1,Q0079,0.010773974710291945,ok,3.2749223973765775,ok,5
partial_DP1,Q0151,,no_data,15.8747199372533,alert,0
partial_DP1,Q0117,0.1302096370388875,alert,9.318606062108069,alert,4
partial_DP1,Q0067,0.1302096370388875,alert,15550000000.0,alert,4
partial_DP1,Q0085,0.010773974710291945,ok,3.2749223973765775,ok,5
partial_DP1,Q0173,0.010773974710291945,ok,3.2749223973765775,ok,5
partial_DP1,Q0160,0.14350549492538694,alert,11.070386847969727,alert,3
partial_DP1,Q0101,0.1302096370388875,alert,9.318606062108069,alert,4
partial_DP1,Q0084,0.32251415256024707,alert,18.634202549742668,alert,2
partial_DP1,Q0126,0.010773974710291945,ok,3.2749223973765775,ok,5
partial_DP1,Q0124,0.1302096370388875,alert,9.318606062108069,alert,4
partial_DP1,Q0083,0.1302096370388875,alert,9.318606062108069,alert,4
partial_DP1,Q0137,0.1302096370388875,alert,15619999999.999998,alert,4
partial_DP1,Q0116,0.1302096370388875,alert,9.318606062108069,alert,4
partial_DP1,Q0120,0.1302096370388875,alert,9.318606062108069,alert,4
partial_DP1,Q0099,0.1302096370388875,alert,6530000000.0,alert,4
partial_DP1,Q0121,0.1302096370388875,alert,9.318606062108069,alert,4
partial_DP1,Q0095,0.010773974710291945,ok,3.2749223973765775,ok,5
partial_DP1,Q0128,0.1302096370388875,alert,9.318606062108069,alert,4
partial_DP1,Q0100,0.010773974710291945,ok,3.2749223973765775,ok,5
partial_DP1,Q0127,0.1302096370388875,alert,9.318606062108069,alert,4
partial_DP1,Q0111,0.1302096370388875,alert,9.318606062108069,alert,4
partial_DP1,Q0102,0.1302096370388875,alert,9.318606062108069,alert,4
partial_DP1,Q0113,0.010773974710291945,ok,3.2749223973765775,ok,5
partial_DP1,Q0082,0.1302096370388875,alert,9.318606062108069,alert,4
partial_DP1,Q0141,0.010773974710291945,ok,16339999999.999998,alert,5
partial_DP1,Q0087,0.1302096370388875,alert,9.318606062108069,alert,4
